student_id,full_name,join_year,gender,socioeconomic_cat,household_income,first_gen
S1104,Student 104,2023,M,low,94195,0
S1105,Student 105,2024,F,mid,31680,0
S1106,Student 106,2022,M,low,36465,0
S1107,Student 107,2024,F,high,95848,0
S1108,Student 108,2022,M,high,65985,1
S1109,Student 109,2024,M,mid,82538,1
S1110,Student 110,2024,F,mid,37927,0
S1111,Student 111,2023,M,low,56882,0
S1112,Student 112,2024,F,mid,21263,1
S1113,Student 113,2022,M,mid,74276,0
S1114,Student 114,2022,F,mid,24906,0
S1115,Student 115,2023,F,mid,42503,0
S1116,Student 116,2022,M,mid,34039,0
S1117,Student 117,2022,F,mid,55440,0
S1118,Student 118,2024,M,high,129519,0
S1119,Student 119,2024,F,low,29940,0
S1120,Student 120,2022,F,high,82782,0
S1121,Student 121,2024,F,mid,15510,1
S1122,Student 122,2022,M,mid,41181,0
S1123,Student 123,2022,M,mid,71564,0
S1124,Student 124,2022,M,mid,69554,0
S1125,Student 125,2022,F,low,86819,1
S1126,Student 126,2024,M,high,53908,0
S1127,Student 127,2022,F,high,136686,0
S1128,Student 128,2022,F,mid,221669,0
S1129,Student 129,2022,F,high,96783,1
S1130,Student 130,2024,M,low,49493,0
S1131,Student 131,2024,M,high,39800,0
S1132,Student 132,2022,M,mid,46570,0
S1133,Student 133,2024,F,high,34843,0
S1134,Student 134,2022,F,high,69091,0
S1135,Student 135,2022,F,mid,76373,0
S1136,Student 136,2024,M,low,28227,1
S1137,Student 137,2024,M,mid,108626,0
S1138,Student 138,2022,F,mid,93700,0
S1139,Student 139,2024,F,mid,55799,0
S1140,Student 140,2023,M,low,48107,1
S1141,Student 141,2023,M,mid,123496,0
S1142,Student 142,2023,F,mid,95115,0
S1143,Student 143,2024,F,low,111041,0
S1144,Student 144,2022,M,high,148449,1
S1145,Student 145,2022,M,mid,83439,0
S1146,Student 146,2023,M,high,115863,0
S1147,Student 147,2022,F,mid,130458,0
S1148,Student 148,2023,F,mid,50115,0
S1149,Student 149,2024,M,mid,81492,1
S1150,Student 150,2023,F,mid,40562,0
S1151,Student 151,2024,M,mid,23722,0
S1152,Student 152,2023,F,mid,146815,1
S1153,Student 153,2023,M,mid,29877,0
S1154,Student 154,2023,M,mid,38493,0
S1155,Student 155,2024,F,mid,104476,0
S1156,Student 156,2023,F,low,90873,1
S1157,Student 157,2022,M,mid,72705,0
S1158,Student 158,2024,M,mid,124856,0
S1159,Student 159,2023,F,low,62249,0
S1160,Student 160,2023,F,low,53011,1
S1161,Student 161,2022,F,high,56053,1
S1162,Student 162,2024,F,mid,125163,0
S1163,Student 163,2024,F,mid,33485,0
S1164,Student 164,2023,M,high,31916,0
S1165,Student 165,2022,M,mid,84384,0
S1166,Student 166,2024,F,mid,50355,0
S1167,Student 167,2023,F,mid,48396,0
S1168,Student 168,2022,M,low,134163,0
S1169,Student 169,2024,F,high,182211,0
S1170,Student 170,2023,M,high,21743,0
S1171,Student 171,2024,M,mid,21657,0
S1172,Student 172,2023,M,mid,184998,0
S1173,Student 173,2024,F,high,108070,1
S1174,Student 174,2023,M,low,66923,0
S1175,Student 175,2022,F,mid,46120,0
S1176,Student 176,2024,M,mid,42773,0
S1177,Student 177,2024,M,mid,42213,0
S1178,Student 178,2023,F,mid,107326,0
S1179,Student 179,2023,M,high,51854,0
S1180,Student 180,2022,F,low,67536,0
S1181,Student 181,2022,F,high,80735,0
S1182,Student 182,2022,F,mid,103266,0
S1183,Student 183,2024,M,mid,244321,0
S1184,Student 184,2024,F,low,55533,0
S1185,Student 185,2023,M,mid,53260,0
S1186,Student 186,2022,F,low,52219,0
S1187,Student 187,2022,F,low,51719,0
S1188,Student 188,2022,F,mid,45878,0
S1189,Student 189,2024,F,mid,33585,0
S1190,Student 190,2022,F,high,61107,0
S1191,Student 191,2024,F,high,36327,0
S1192,Student 192,2023,M,mid,102069,0
S1193,Student 193,2024,M,mid,67473,1
S1194,Student 194,2022,F,mid,81233,0
S1195,Student 195,2023,F,low,68954,0
S1196,Student 196,2024,M,mid,34212,1
S1197,Student 197,2022,M,mid,28061,1
S1198,Student 198,2024,M,mid,17988,0
S1199,Student 199,2023,F,mid,75066,1
S1200,Student 200,2022,M,mid,34084,0
S1201,Student 201,2023,M,mid,110217,0
S1202,Student 202,2022,F,mid,40381,0
S1203,Student 203,2022,F,mid,10930,1
S1204,Student 204,2023,M,mid,90494,0
S1205,Student 205,2024,F,high,49002,1
S1206,Student 206,2022,M,low,32816,1
S1207,Student 207,2023,F,low,44063,0
S1208,Student 208,2022,M,high,21169,0
S1209,Student 209,2022,F,mid,91123,0
S1210,Student 210,2024,M,mid,69320,0
S1211,Student 211,2024,F,mid,36069,0
S1212,Student 212,2024,F,high,85441,0
S1213,Student 213,2024,F,high,155783,0
S1214,Student 214,2024,F,low,47750,0
S1215,Student 215,2023,F,mid,102740,0
S1216,Student 216,2024,M,mid,88897,1
S1217,Student 217,2023,M,mid,105332,0
S1218,Student 218,2024,F,mid,122109,0
S1219,Student 219,2023,M,high,95135,0
S1220,Student 220,2022,F,mid,53462,0
S1221,Student 221,2024,M,mid,18153,0
S1222,Student 222,2022,F,low,61138,0
S1223,Student 223,2023,M,mid,59889,0
S1224,Student 224,2023,M,mid,87058,1
S1225,Student 225,2023,F,high,99735,1
S1226,Student 226,2023,M,mid,30859,0
S1227,Student 227,2023,F,low,38784,0
S1228,Student 228,2024,M,mid,86471,0
S1229,Student 229,2024,M,low,53417,0
S1230,Student 230,2023,F,mid,34493,0
S1231,Student 231,2023,M,mid,67215,0
S1232,Student 232,2024,F,mid,36902,0
S1233,Student 233,2023,M,high,95220,1
S1234,Student 234,2022,F,low,56944,1
S1235,Student 235,2024,M,mid,31213,0
S1236,Student 236,2022,F,low,110635,0
S1237,Student 237,2024,M,mid,55244,0
S1238,Student 238,2022,M,mid,58630,0
S1239,Student 239,2023,M,low,25442,1
S1240,Student 240,2023,M,low,43822,1
S1241,Student 241,2022,M,mid,191139,0
S1242,Student 242,2022,F,mid,70806,1
S1243,Student 243,2024,F,high,194317,0
S1244,Student 244,2023,M,mid,140416,0
S1245,Student 245,2022,M,mid,42857,0
S1246,Student 246,2024,M,low,72760,0
S1247,Student 247,2024,F,mid,108909,0
S1248,Student 248,2022,F,low,79400,0
S1249,Student 249,2023,M,high,72176,0
S1250,Student 250,2022,F,mid,76408,1
S1251,Student 251,2024,M,high,53321,0
S1252,Student 252,2024,F,low,12712,0
S1253,Student 253,2023,F,low,29960,0
S1254,Student 254,2023,F,high,43427,1
S1255,Student 255,2023,F,high,60793,1
S1256,Student 256,2022,F,low,60635,0
S1257,Student 257,2022,M,low,63555,1
S1258,Student 258,2024,F,high,26305,0
S1259,Student 259,2024,F,high,100648,0
S1260,Student 260,2022,F,low,91092,0
S1261,Student 261,2023,M,mid,31674,0
S1262,Student 262,2023,F,low,62064,0
S1263,Student 263,2024,F,high,52706,1
S1264,Student 264,2024,F,mid,69103,0
S1265,Student 265,2022,M,high,33808,1
S1266,Student 266,2024,F,low,58393,0
S1267,Student 267,2023,F,mid,22265,1
S1268,Student 268,2023,F,mid,149146,0
S1269,Student 269,2022,M,high,86390,0
S1270,Student 270,2024,M,high,85352,1
S1271,Student 271,2022,M,mid,67770,0
S1272,Student 272,2023,M,mid,188215,0
S1273,Student 273,2023,M,high,90362,1
S1274,Student 274,2024,F,mid,27468,1
S1275,Student 275,2023,F,high,128752,0
S1276,Student 276,2023,M,low,61517,0
S1277,Student 277,2024,M,mid,243719,1
S1278,Student 278,2024,F,low,155696,0
S1279,Student 279,2023,M,low,51269,0
S1280,Student 280,2024,F,low,32725,0
S1281,Student 281,2023,M,low,164217,1
S1282,Student 282,2024,F,mid,74571,0
S1283,Student 283,2023,M,mid,130443,0
S1284,Student 284,2023,F,mid,81173,0
S1285,Student 285,2024,M,high,55840,0
S1286,Student 286,2023,M,mid,100519,0
S1287,Student 287,2024,F,high,36943,1
S1288,Student 288,2024,F,mid,71541,0
S1289,Student 289,2024,M,mid,98517,0
S1290,Student 290,2024,M,mid,106003,0
S1291,Student 291,2022,F,low,41004,0
S1292,Student 292,2022,M,mid,47679,0
S1293,Student 293,2022,M,high,54943,0
S1294,Student 294,2024,F,low,80019,1
S1295,Student 295,2024,F,mid,108884,1
S1296,Student 296,2023,M,mid,36177,0
S1297,Student 297,2024,M,mid,97022,0
S1298,Student 298,2024,F,mid,105444,0
S1299,Student 299,2023,F,high,189241,0
S1300,Student 300,2022,F,low,16170,1
S1301,Student 301,2023,F,low,81200,0
S1302,Student 302,2022,M,mid,22804,0
S1303,Student 303,2023,F,low,73442,0
S1304,Student 304,2023,F,mid,65582,1
S1305,Student 305,2022,F,mid,23374,0
S1306,Student 306,2024,F,mid,223451,0
S1307,Student 307,2022,M,low,69837,1
S1308,Student 308,2024,M,mid,40597,0
S1309,Student 309,2023,F,low,135558,0
S1310,Student 310,2023,F,high,67775,1
S1311,Student 311,2023,F,high,179605,0
S1312,Student 312,2024,M,mid,51334,0
S1313,Student 313,2023,F,mid,65825,0
S1314,Student 314,2022,M,mid,64640,0
S1315,Student 315,2023,F,mid,10127,0
S1316,Student 316,2024,F,high,41775,0
S1317,Student 317,2023,M,mid,101178,0
S1318,Student 318,2022,F,high,37009,0
S1319,Student 319,2023,M,high,19468,0
S1320,Student 320,2022,M,low,63102,0
S1321,Student 321,2023,F,high,105161,0
S1322,Student 322,2023,M,mid,51031,0
S1323,Student 323,2024,F,high,49437,0
S1324,Student 324,2024,F,low,43581,0
S1325,Student 325,2023,F,low,142195,0
S1326,Student 326,2024,M,mid,57658,1
S1327,Student 327,2022,M,mid,89166,1
S1328,Student 328,2023,M,low,39584,0
S1329,Student 329,2022,F,low,120793,0
S1330,Student 330,2024,F,mid,214516,0
S1331,Student 331,2023,F,low,145446,1
S1332,Student 332,2023,F,mid,44910,0
S1333,Student 333,2022,M,high,50535,0
S1334,Student 334,2023,M,high,69134,0
S1335,Student 335,2024,M,mid,62584,1
S1336,Student 336,2024,M,low,162910,0
S1337,Student 337,2022,M,low,10406,0
S1338,Student 338,2024,M,mid,19151,0
S1339,Student 339,2023,M,low,48118,0
S1340,Student 340,2023,F,mid,55636,0
S1341,Student 341,2023,M,low,67939,0
S1342,Student 342,2023,M,low,124595,0
S1343,Student 343,2024,M,mid,53332,0
S1344,Student 344,2024,M,low,43203,0
S1345,Student 345,2023,F,high,63809,0
S1346,Student 346,2022,M,high,40401,0
S1347,Student 347,2023,M,mid,111747,0
S1348,Student 348,2023,M,high,17860,0
S1349,Student 349,2024,F,high,160235,0
S1350,Student 350,2024,M,high,107640,0
S1351,Student 351,2023,M,mid,102317,0
S1352,Student 352,2023,M,mid,56846,1
S1353,Student 353,2023,F,mid,25910,1
S1354,Student 354,2022,F,high,32655,0
S1355,Student 355,2024,M,low,52092,0
S1356,Student 356,2022,F,mid,59326,0
S1357,Student 357,2023,F,mid,47051,0
S1358,Student 358,2022,M,mid,26162,0
S1359,Student 359,2024,F,low,25324,0
S1360,Student 360,2024,F,mid,82615,1
S1361,Student 361,2022,F,low,76329,0
S1362,Student 362,2024,F,mid,27207,0
S1363,Student 363,2023,M,low,188041,0
S1364,Student 364,2023,M,low,79072,1
S1365,Student 365,2022,F,mid,69084,1
S1366,Student 366,2023,M,low,167652,0
S1367,Student 367,2023,F,mid,157479,0
S1368,Student 368,2022,F,low,22728,0
S1369,Student 369,2024,F,low,25035,0
S1370,Student 370,2022,F,low,142433,0
S1371,Student 371,2022,M,high,84774,0
S1372,Student 372,2024,M,low,218210,0
S1373,Student 373,2022,M,low,42013,0
S1374,Student 374,2022,F,high,138224,0
S1375,Student 375,2024,F,high,52340,0
S1376,Student 376,2024,F,low,84421,0
S1377,Student 377,2023,F,mid,65137,0
S1378,Student 378,2022,M,high,58661,0
S1379,Student 379,2023,M,high,34545,0
S1380,Student 380,2024,M,high,124768,0
S1381,Student 381,2023,F,mid,75932,0
S1382,Student 382,2023,M,low,27930,0
S1383,Student 383,2024,M,mid,19430,0
S1384,Student 384,2022,M,low,185793,0
S1385,Student 385,2023,F,high,38667,0
S1386,Student 386,2024,M,low,336290,0
S1387,Student 387,2022,F,mid,51763,0
S1388,Student 388,2024,F,high,38205,0
S1389,Student 389,2024,F,mid,31938,0
S1390,Student 390,2024,F,low,81446,0
S1391,Student 391,2022,M,low,49227,0
S1392,Student 392,2023,F,low,36748,0
S1393,Student 393,2022,F,mid,43783,0
S1394,Student 394,2024,F,mid,37051,1
S1395,Student 395,2023,F,high,52467,0
S1396,Student 396,2024,F,mid,50435,0
S1397,Student 397,2024,M,mid,66906,0
S1398,Student 398,2022,M,high,45229,1
S1399,Student 399,2022,F,high,35685,0
S1400,Student 400,2023,F,low,79877,1
S1401,Student 401,2022,F,high,33492,0
S1402,Student 402,2022,M,mid,82790,0
S1403,Student 403,2023,F,mid,236636,0
S1404,Student 404,2024,M,mid,110640,1
S1405,Student 405,2022,M,high,48950,0
S1406,Student 406,2024,M,mid,66045,1
S1407,Student 407,2022,F,mid,52002,1
S1408,Student 408,2024,F,mid,38896,0
S1409,Student 409,2023,F,mid,218454,0
S1410,Student 410,2024,M,high,90481,1
S1411,Student 411,2023,F,high,31772,1
S1412,Student 412,2023,F,high,60814,1
S1413,Student 413,2024,F,low,55748,0
S1414,Student 414,2023,F,low,35848,0
S1415,Student 415,2023,F,mid,42808,0
S1416,Student 416,2024,F,mid,60285,0
S1417,Student 417,2023,M,mid,98421,0
S1418,Student 418,2022,M,mid,47802,0
S1419,Student 419,2022,F,mid,31833,1
S1420,Student 420,2022,M,high,45740,0
S1421,Student 421,2023,F,mid,21025,1
S1422,Student 422,2023,M,low,11144,0
S1423,Student 423,2022,M,high,29346,1
S1424,Student 424,2024,F,mid,71083,0
S1425,Student 425,2023,F,mid,107703,0
S1426,Student 426,2023,F,high,26236,0
S1427,Student 427,2023,M,low,80869,1
S1428,Student 428,2024,M,high,97295,0
S1429,Student 429,2024,F,low,29177,0
S1430,Student 430,2024,M,mid,97761,0
S1431,Student 431,2024,F,mid,83241,0
S1432,Student 432,2022,F,mid,101420,0
S1433,Student 433,2023,M,mid,70195,0
S1434,Student 434,2023,F,mid,172259,0
S1435,Student 435,2022,M,mid,94132,0
S1436,Student 436,2022,F,mid,196210,0
S1437,Student 437,2022,F,mid,42456,0
S1438,Student 438,2023,M,low,57854,0
S1439,Student 439,2023,M,high,158998,0
S1440,Student 440,2024,F,mid,58524,0
S1441,Student 441,2022,F,low,225993,0
S1442,Student 442,2024,M,high,38906,0
S1443,Student 443,2024,F,low,27844,0
S1444,Student 444,2024,F,mid,235894,0
S1445,Student 445,2022,F,mid,111474,0
S1446,Student 446,2024,F,high,84177,0
S1447,Student 447,2022,M,high,85554,0
S1448,Student 448,2023,F,low,82966,1
S1449,Student 449,2023,M,high,45055,0
S1450,Student 450,2023,M,low,97803,1
S1451,Student 451,2023,F,mid,69073,0
S1452,Student 452,2023,M,mid,69108,1
S1453,Student 453,2023,M,high,30368,0
S1454,Student 454,2024,M,mid,50555,0
S1455,Student 455,2024,M,mid,71137,0
S1456,Student 456,2024,F,mid,83247,0
S1457,Student 457,2023,F,high,61249,0
S1458,Student 458,2023,F,mid,110392,0
S1459,Student 459,2023,F,high,31156,0
S1460,Student 460,2023,M,high,88065,0
S1461,Student 461,2022,M,mid,85215,0
S1462,Student 462,2022,M,high,35234,0
S1463,Student 463,2023,F,mid,93425,0
S1464,Student 464,2024,M,high,58749,1
S1465,Student 465,2022,F,high,18877,0
S1466,Student 466,2022,F,low,57014,0
S1467,Student 467,2024,F,low,69976,0
S1468,Student 468,2024,F,low,103548,0
S1469,Student 469,2024,M,low,41085,0
S1470,Student 470,2024,M,mid,48360,1
S1471,Student 471,2024,M,high,274893,0
S1472,Student 472,2024,M,high,45288,0
S1473,Student 473,2024,M,mid,77834,0
S1474,Student 474,2024,M,low,16038,0
S1475,Student 475,2022,F,mid,48646,1
S1476,Student 476,2023,M,high,103561,0
S1477,Student 477,2022,F,high,225659,0
S1478,Student 478,2023,F,high,39824,0
S1479,Student 479,2024,M,high,42676,0
S1480,Student 480,2022,F,mid,48099,1
S1481,Student 481,2022,F,mid,56960,0
S1482,Student 482,2023,M,mid,168589,1
S1483,Student 483,2024,F,low,82510,0
S1484,Student 484,2022,F,mid,28024,0
S1485,Student 485,2024,F,mid,114870,0
S1486,Student 486,2022,M,mid,57724,0
S1487,Student 487,2024,F,high,51946,0
S1488,Student 488,2022,M,mid,38400,0
S1489,Student 489,2022,F,mid,83271,0
S1490,Student 490,2022,F,high,35186,0
S1491,Student 491,2023,F,low,71905,0
S1492,Student 492,2024,F,mid,146170,1
S1493,Student 493,2023,M,high,93689,0
S1494,Student 494,2024,M,low,56888,0
S1495,Student 495,2024,M,mid,48303,1
S1496,Student 496,2024,M,low,117061,1
S1497,Student 497,2024,F,mid,47297,0
S1498,Student 498,2023,F,mid,69661,0
S1499,Student 499,2023,M,mid,47359,0
S1500,Student 500,2023,M,low,186931,1
S1501,Student 501,2022,F,high,127123,0
S1502,Student 502,2024,M,mid,76710,0
S1503,Student 503,2023,F,high,21221,0
S1504,Student 504,2024,F,high,31615,1
S1505,Student 505,2024,F,low,48457,0
S1506,Student 506,2024,M,high,73409,0
S1507,Student 507,2023,F,mid,56190,0
S1508,Student 508,2022,F,mid,112424,0
S1509,Student 509,2023,M,mid,85088,0
S1510,Student 510,2024,M,mid,84048,0
S1511,Student 511,2023,M,high,61747,0
S1512,Student 512,2024,M,low,105517,0
S1513,Student 513,2022,M,high,87841,0
S1514,Student 514,2022,M,mid,65363,0
S1515,Student 515,2024,M,high,96051,0
S1516,Student 516,2023,M,mid,62049,0
S1517,Student 517,2023,F,high,64600,0
S1518,Student 518,2024,M,low,62585,0
S1519,Student 519,2024,M,high,101471,0
S1520,Student 520,2023,M,mid,67233,1
S1521,Student 521,2022,M,mid,130405,0
S1522,Student 522,2023,F,high,53651,0
S1523,Student 523,2022,M,high,102513,0
S1524,Student 524,2023,F,mid,61518,0
S1525,Student 525,2022,M,low,182701,1
S1526,Student 526,2023,M,low,27145,0
S1527,Student 527,2024,M,mid,63393,0
S1528,Student 528,2024,F,mid,36330,1
S1529,Student 529,2024,F,high,108216,0
S1530,Student 530,2024,F,low,44924,0
S1531,Student 531,2023,M,mid,23088,1
S1532,Student 532,2023,M,mid,24202,0
S1533,Student 533,2024,M,mid,50694,0
S1534,Student 534,2022,M,mid,27440,0
S1535,Student 535,2022,M,mid,36963,1
S1536,Student 536,2023,F,mid,50537,0
S1537,Student 537,2024,F,high,59989,0
S1538,Student 538,2023,F,mid,33590,0
S1539,Student 539,2023,M,high,30775,1
S1540,Student 540,2023,F,low,58318,0
S1541,Student 541,2023,M,mid,19721,0
S1542,Student 542,2024,F,high,195647,0
S1543,Student 543,2022,M,low,125761,0
S1544,Student 544,2023,M,low,92132,0
S1545,Student 545,2022,F,low,91806,0
S1546,Student 546,2023,M,low,95450,0
S1547,Student 547,2022,M,mid,50280,0
S1548,Student 548,2022,M,high,40841,0
S1549,Student 549,2024,F,low,125776,0
S1550,Student 550,2023,M,high,198066,0
S1551,Student 551,2022,M,mid,54253,0
S1552,Student 552,2023,M,high,22258,0
S1553,Student 553,2022,M,mid,138570,1
S1554,Student 554,2022,F,high,62982,0
S1555,Student 555,2023,M,low,61772,0
S1556,Student 556,2024,M,mid,84839,0
S1557,Student 557,2024,F,high,162838,0
S1558,Student 558,2024,F,low,25231,0
S1559,Student 559,2022,F,low,94127,0
S1560,Student 560,2023,M,mid,48372,0
S1561,Student 561,2024,F,mid,135951,0
S1562,Student 562,2023,F,mid,148390,0
S1563,Student 563,2023,M,low,31148,0
S1564,Student 564,2024,M,mid,161266,0
S1565,Student 565,2024,M,high,47165,0
S1566,Student 566,2022,F,high,31766,0
S1567,Student 567,2022,F,high,69691,0
S1568,Student 568,2023,M,high,51690,1
S1569,Student 569,2023,F,low,20447,0
S1570,Student 570,2023,F,mid,46909,0
S1571,Student 571,2024,M,mid,74317,0
S1572,Student 572,2022,F,mid,182675,0
S1573,Student 573,2023,F,high,115484,0
S1574,Student 574,2022,M,mid,28110,0
S1575,Student 575,2024,M,mid,18139,0
S1576,Student 576,2023,F,low,14436,0
S1577,Student 577,2022,M,mid,215197,0
S1578,Student 578,2022,M,mid,58650,0
S1579,Student 579,2023,F,mid,86253,0
S1580,Student 580,2024,F,high,28653,0
S1581,Student 581,2023,M,mid,56451,0
S1582,Student 582,2024,F,mid,67419,1
S1583,Student 583,2024,M,mid,63490,0
S1584,Student 584,2023,M,low,31077,0
S1585,Student 585,2022,M,mid,96593,0
S1586,Student 586,2022,F,low,37846,0
S1587,Student 587,2022,M,low,99188,0
S1588,Student 588,2023,M,mid,60786,1
S1589,Student 589,2022,M,low,118307,0
S1590,Student 590,2023,F,high,56449,0
S1591,Student 591,2023,F,high,35172,0
S1592,Student 592,2022,F,mid,17184,0
S1593,Student 593,2023,M,high,40718,0
S1594,Student 594,2023,F,high,37283,0
S1595,Student 595,2024,M,mid,69718,0
S1596,Student 596,2022,M,low,33162,0
S1597,Student 597,2022,M,mid,66513,1
S1598,Student 598,2022,F,mid,22088,0
S1599,Student 599,2024,M,mid,52929,0
S1600,Student 600,2023,M,high,80665,0
S1601,Student 601,2024,M,low,34078,0
S1602,Student 602,2023,F,high,82707,0
S1603,Student 603,2022,M,mid,80017,0
S1604,Student 604,2022,M,low,13294,0
S1605,Student 605,2023,F,high,70569,0
S1606,Student 606,2023,M,mid,51584,0
S1607,Student 607,2023,F,low,85070,0
S1608,Student 608,2024,M,mid,28895,1
S1609,Student 609,2023,F,mid,124668,0
S1610,Student 610,2023,F,mid,77566,0
S1611,Student 611,2023,F,mid,66290,0
S1612,Student 612,2022,F,mid,65048,0
S1613,Student 613,2022,M,low,60082,1
S1614,Student 614,2023,M,low,109527,0
S1615,Student 615,2022,M,mid,29432,0
S1616,Student 616,2022,F,high,33336,0
S1617,Student 617,2023,F,low,46390,0
S1618,Student 618,2024,F,low,29807,1
S1619,Student 619,2023,F,low,84731,1
S1620,Student 620,2022,M,mid,56129,1
S1621,Student 621,2024,F,low,31768,0
S1622,Student 622,2022,F,mid,29714,0
S1623,Student 623,2023,M,mid,54093,0
S1624,Student 624,2022,F,high,33537,0
S1625,Student 625,2024,F,mid,38770,0
S1626,Student 626,2023,M,low,39074,0
S1627,Student 627,2024,M,mid,117803,1
S1628,Student 628,2024,M,high,24677,0
S1629,Student 629,2022,F,mid,54321,0
S1630,Student 630,2022,M,mid,115142,1
S1631,Student 631,2022,M,mid,25290,0
S1632,Student 632,2023,M,low,25433,1
S1633,Student 633,2022,M,mid,34216,0
S1634,Student 634,2022,F,mid,52014,0
S1635,Student 635,2023,M,mid,35667,0
S1636,Student 636,2023,F,mid,92443,0
S1637,Student 637,2023,F,high,93386,0
S1638,Student 638,2024,F,low,283711,0
S1639,Student 639,2022,M,mid,29445,0
S1640,Student 640,2023,F,high,54592,0
S1641,Student 641,2023,M,low,56702,0
S1642,Student 642,2022,F,high,99391,0
S1643,Student 643,2022,M,high,60119,0
S1644,Student 644,2024,F,mid,31442,0
S1645,Student 645,2024,M,low,116585,0
S1646,Student 646,2024,F,low,40876,0
S1647,Student 647,2022,M,high,34742,0
